时间,成交编号,成交代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号
91500030,2580,0, ,0,100,0,2579
91500120,27530,0, ,0,1100,0,27529
91500550,80613,0, ,0,100,0,76661
91500550,80694,0, ,0,100,0,76687
91500670,88379,0, ,0,100,0,67961
91501040,113668,0, ,0,100,0,113644
91501540,134993,0, ,0,1700,77548,0
91501850,146247,0, ,0,100,0,146245
91501850,146249,0, ,0,100,0,146244
91501850,146452,0, ,0,100,0,146450
91501860,146663,0, ,0,100,0,146451
91502020,153332,0, ,0,100,0,134515
91502340,163524,0, ,0,2000,0,163523
91502450,165323,0, ,0,100,0,3618
91502650,169683,0, ,0,500,169522,0
91502910,174728,0, ,0,100,0,174727
91503480,183791,0, ,0,2100,0,183385
91503780,186634,0, ,0,300,0,186618
91505020,195253,0, ,0,100,0,192797
91508020,200841,0, ,0,100,0,200251
91510000,202043,0, ,0,100,0,202041
91510000,202044,0, ,0,100,0,202039
91510000,202045,0, ,0,200,0,202040
91510000,202046,0, ,0,200,0,202042
91511030,202462,0, ,0,100,0,202356
91511830,202658,0, ,0,100,0,200434
91511830,202659,0, ,0,100,0,200408
91511860,202661,0, ,0,100,0,200406
91511860,202663,0, ,0,100,0,200407
91512620,202923,0, ,0,100,0,201033
91513010,203009,0, ,0,100,0,201165
91513260,203145,0, ,0,100,0,202903
91513310,203155,0, ,0,100,0,201491
91514030,203302,0, ,0,100,0,203231
91517030,203863,0, ,0,100,0,203809
91517330,203920,0, ,0,100,0,768
91517800,203951,0, ,0,100,0,3289
91518070,203982,0, ,0,100,0,200696
91518240,204021,0, ,0,100,0,3290
91518420,204041,0, ,0,100,0,2178
91520030,204259,0, ,0,100,0,204216
91523030,204768,0, ,0,100,0,204735
91526030,205267,0, ,0,100,0,205217
91529030,205682,0, ,0,100,0,205642
91530360,205841,0, ,0,100,0,204026
91532030,206051,0, ,0,100,0,205991
91532060,206059,0, ,0,100,0,202710
91532070,206061,0, ,0,100,0,202766
91532070,206062,0, ,0,100,0,202810
91532100,206069,0, ,0,100,0,202890
91532530,206136,0, ,0,100,0,202865
91532530,206137,0, ,0,100,0,202897
91532530,206138,0, ,0,100,0,202906
91532550,206140,0, ,0,100,0,202907
91532610,206142,0, ,0,100,0,202911
91532610,206143,0, ,0,100,0,202919
91532610,206144,0, ,0,100,0,202909
91532650,206149,0, ,0,100,0,202910
91532790,206168,0, ,0,100,0,202950
91532840,206171,0, ,0,100,0,203040
91532840,206172,0, ,0,100,0,202948
91532840,206173,0, ,0,100,0,202935
91532840,206174,0, ,0,100,0,202936
91532840,206175,0, ,0,100,0,202949
91532840,206176,0, ,0,100,0,202926
91532850,206177,0, ,0,100,0,202955
91532860,206179,0, ,0,100,0,203006
91532880,206181,0, ,0,100,0,202977
91532890,206183,0, ,0,100,0,202976
91532890,206184,0, ,0,100,0,202958
91532900,206185,0, ,0,100,0,202992
91533120,206214,0, ,0,100,0,202998
91533120,206215,0, ,0,100,0,203004
91533120,206216,0, ,0,100,0,203005
91533120,206217,0, ,0,100,0,203025
91533130,206218,0, ,0,100,0,203011
91533130,206220,0, ,0,100,0,203014
91533130,206222,0, ,0,100,0,203016
91533170,206233,0, ,0,100,0,203017
91533200,206235,0, ,0,100,0,203008
91533290,206254,0, ,0,100,0,203149
91533410,206265,0, ,0,100,0,203168
91533470,206277,0, ,0,100,0,203223
91533500,206281,0, ,0,100,0,203228
91533500,206282,0, ,0,100,0,203227
91533510,206285,0, ,0,100,0,203165
91533510,206286,0, ,0,100,0,203166
91533510,206288,0, ,0,100,0,203185
91533520,206290,0, ,0,100,0,203221
91533540,206292,0, ,0,100,0,203229
91533550,206293,0, ,0,100,0,203213
91533550,206294,0, ,0,100,0,203215
91533550,206295,0, ,0,100,0,203242
91533550,206296,0, ,0,100,0,203224
91533560,206297,0, ,0,100,0,203172
91533560,206300,0, ,0,100,0,203219
91533610,206305,0, ,0,100,0,203273
91533810,206334,0, ,0,100,0,203255
91533810,206336,0, ,0,100,0,203267
91533810,206337,0, ,0,100,0,203291
91533850,206343,0, ,0,100,0,203264
91533850,206346,0, ,0,100,0,203274
91533860,206347,0, ,0,100,0,203288
91533860,206348,0, ,0,100,0,203278
91533870,206350,0, ,0,100,0,203272
91533870,206351,0, ,0,100,0,203258
91533870,206352,0, ,0,100,0,203280
91533900,206357,0, ,0,100,0,203290
91533910,206358,0, ,0,100,0,203298
91534080,206378,0, ,0,100,0,203412
91534200,206404,0, ,0,100,0,203422
91535030,206588,0, ,0,100,0,206486
91535370,206677,0, ,0,100,0,203465
91535370,206680,0, ,0,100,0,203511
91535390,206684,0, ,0,100,0,203522
91535410,206687,0, ,0,100,0,203605
91535430,206689,0, ,0,100,0,203318
91535430,206690,0, ,0,100,0,203475
91535430,206691,0, ,0,100,0,203528
91535430,206692,0, ,0,100,0,203550
91535430,206693,0, ,0,100,0,203614
91535430,206694,0, ,0,100,0,203408
91535440,206695,0, ,0,100,0,203588
91535450,206696,0, ,0,100,0,203489
91535460,206697,0, ,0,100,0,203519
91535460,206698,0, ,0,100,0,203470
91535470,206703,0, ,0,100,0,203554
91535470,206704,0, ,0,100,0,203523
91535470,206705,0, ,0,100,0,203626
91535470,206706,0, ,0,100,0,203509
91535470,206707,0, ,0,100,0,203473
91535500,206709,0, ,0,100,0,203504
91535530,206712,0, ,0,100,0,203488
91538030,207064,0, ,0,100,0,207008
91538380,207156,0, ,0,100,0,201086
91539950,207359,0, ,0,100,0,204248
91539960,207362,0, ,0,100,0,204250
91539960,207363,0, ,0,100,0,204247
91540030,207376,0, ,0,100,0,204278
91541030,207515,0, ,0,100,0,207461
91543040,207773,0, ,0,100,0,206057
91543730,207878,0, ,0,100,0,206310
91544030,207907,0, ,0,100,0,207856
91544320,207975,0, ,0,100,0,206402
91544340,207981,0, ,0,100,0,206459
91544350,207985,0, ,0,100,0,206395
91544360,207987,0, ,0,100,0,206422
91544360,207988,0, ,0,100,0,206423
91544400,207994,0, ,0,100,0,207960
91544410,207997,0, ,0,100,0,206396
91544410,207998,0, ,0,100,0,206429
91544420,208000,0, ,0,100,0,206448
91544420,208001,0, ,0,100,0,206450
91544420,208002,0, ,0,100,0,206389
91544420,208003,0, ,0,100,0,206428
91544420,208004,0, ,0,100,0,206397
91544420,208005,0, ,0,100,0,206430
91544420,208006,0, ,0,100,0,206445
91544500,208025,0, ,0,100,0,207145
91544540,208030,0, ,0,100,0,206472
91544580,208038,0, ,0,100,0,206468
91544620,208041,0, ,0,100,0,206501
91544620,208042,0, ,0,100,0,206497
91544630,208043,0, ,0,100,0,206470
91544630,208044,0, ,0,100,0,206483
91544630,208045,0, ,0,100,0,206481
91544630,208046,0, ,0,100,0,206482
91544640,208047,0, ,0,100,0,206270
91544640,208049,0, ,0,100,0,206475
91544670,208052,0, ,0,100,0,206528
91544680,208054,0, ,0,100,0,206527
91544700,208058,0, ,0,100,0,206509
91544710,208060,0, ,0,100,0,206541
91544740,208063,0, ,0,100,0,206513
91544740,208064,0, ,0,100,0,207368
91544800,208079,0, ,0,100,0,208016
91544840,208085,0, ,0,100,0,206538
91544850,208086,0, ,0,100,0,206534
91544850,208087,0, ,0,100,0,206536
91544850,208088,0, ,0,100,0,206537
91544860,208089,0, ,0,100,0,206627
91544870,208091,0, ,0,100,0,206523
91544870,208092,0, ,0,100,0,206526
91544870,208093,0, ,0,100,0,206514
91544870,208094,0, ,0,100,0,206516
91544870,208095,0, ,0,100,0,206349
91544880,208096,0, ,0,100,0,206550
91544880,208098,0, ,0,100,0,206522
91544890,208101,0, ,0,100,0,206517
91544890,208102,0, ,0,100,0,206518
91544890,208103,0, ,0,100,0,206626
91544890,208104,0, ,0,100,0,206565
91544890,208105,0, ,0,100,0,206525
91544890,208106,0, ,0,100,0,206552
91544890,208108,0, ,0,100,0,206551
91544890,208109,0, ,0,100,0,206519
91544890,208110,0, ,0,100,0,206520
91544900,208112,0, ,0,100,0,206554
91544900,208113,0, ,0,100,0,206521
91544900,208114,0, ,0,100,0,206515
91544950,208120,0, ,0,100,0,206567
91545110,208146,0, ,0,100,0,206618
91545110,208148,0, ,0,100,0,206620
91545110,208149,0, ,0,100,0,206615
91545120,208150,0, ,0,100,0,206625
91545120,208151,0, ,0,100,0,206433
91545170,208164,0, ,0,100,0,206674
91545180,208165,0, ,0,100,0,206673
91545200,208176,0, ,0,100,0,206619
91545200,208177,0, ,0,100,0,206611
91545210,208178,0, ,0,100,0,206617
91545210,208180,0, ,0,100,0,206604
91545220,208181,0, ,0,100,0,206640
91545220,208182,0, ,0,100,0,206612
