万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量
301000.SZ,301000,20231213,91500000,0,0,0,0,0,,,0,0,0,0,0,172800,170300,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,170300,0,0,0,0,0,0,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0
301000.SZ,301000,20231213,91500000,0,0,0,0,0,,,0,0,0,0,0,172800,170300,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,170300,0,0,0,0,0,0,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0
301000.SZ,301000,20231213,91509000,0,0,0,0,0,,,0,0,0,0,0,172800,174500,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,174500,0,0,0,0,0,0,0,0,0,3000,5600,0,0,0,0,0,0,0,0,0,0,0,0
301000.SZ,301000,20231213,91603000,0,0,0,0,0,,,0,0,0,0,0,172800,174500,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,174500,0,0,0,0,0,0,0,0,0,3000,6300,0,0,0,0,0,0,0,0,0,0,0,0
301000.SZ,301000,20231213,91639000,0,0,0,0,0,,,0,0,0,0,0,172800,174500,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,174500,0,0,0,0,0,0,0,0,0,3000,5600,0,0,0,0,0,0,0,0,0,0,0,0
301000.SZ,301000,20231213,91800000,0,0,0,0,0,,,0,0,0,0,0,172800,174500,0,0,0,0,0,0,0,0,0,5300,0,0,0,0,0,0,0,0,0,174500,0,0,0,0,0,0,0,0,0,5300,3300,0,0,0,0,0,0,0,0,0,0,0,0
301000.SZ,301000,20231213,91827000,0,0,0,0,0,,,0,0,0,0,0,172800,174500,0,0,0,0,0,0,0,0,0,7300,0,0,0,0,0,0,0,0,0,174500,0,0,0,0,0,0,0,0,0,7300,1300,0,0,0,0,0,0,0,0,0,0,0,0
301000.SZ,301000,20231213,91930000,0,0,0,0,0,,,0,0,0,0,0,172800,174500,0,0,0,0,0,0,0,0,0,7600,0,0,0,0,0,0,0,0,0,174500,0,0,0,0,0,0,0,0,0,7600,1000,0,0,0,0,0,0,0,0,0,0,0,0
301000.SZ,301000,20231213,92027000,0,0,0,0,0,,,0,0,0,0,0,172800,174500,0,0,0,0,0,0,0,0,0,8200,0,0,0,0,0,0,0,0,0,174500,0,0,0,0,0,0,0,0,0,8200,400,0,0,0,0,0,0,0,0,0,0,0,0
301000.SZ,301000,20231213,92036000,0,0,0,0,0,,,0,0,0,0,0,172800,174500,0,0,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,174500,0,0,0,0,0,0,0,0,0,8400,200,0,0,0,0,0,0,0,0,0,0,0,0
