时间,交易所委托号,委托类型,委托代码,委托价格,委托数量
91500040,5089,0,S,187800,300
91500060,10437,0,S,174000,200
91500080,14049,0,S,172800,1000
91500080,16704,0,S,200000,500
91500090,19778,0,S,178600,400
91500090,19780,0,S,185600,400
91500090,19796,0,S,192600,400
91500090,19797,0,S,199600,400
91500090,19798,0,S,206600,400
91500100,20743,0,S,138200,300
91500110,24747,0,B,172800,100
91500110,26853,0,S,179900,2000
91500110,26855,0,S,189900,2000
91500110,26856,0,S,199900,2000
91500110,26857,0,S,207400,2000
91500110,27010,0,B,150100,2000
91500120,30646,0,S,189600,600
91500120,30647,0,S,205600,1084
91500120,31167,0,S,206600,100
91500120,31173,0,S,195800,100
91500120,31174,0,S,185800,100
91500120,31263,0,S,178500,100
91500130,34265,0,S,206600,100
91500130,34268,0,S,195800,100
91500130,34269,0,S,185800,100
91500130,34385,0,S,178500,100
91500150,38764,0,S,198900,300
91500150,39775,0,S,200000,200
91500190,52013,0,S,194300,600
91500190,52284,0,S,207400,200
91500200,53195,0,B,168600,100
91500210,54980,0,B,164100,400
91500220,57126,0,S,179700,1500
91500220,57135,0,S,182400,2000
91500220,57136,0,S,184400,2000
91500220,57962,0,S,192700,4200
91500240,61467,0,S,189500,100
91500240,61468,0,S,199500,200
91500240,61469,0,S,207400,300
91500240,61510,0,B,160200,100
91500350,72125,0,B,139900,10300
91500350,72128,0,B,149800,7100
91500350,72137,0,B,156900,6600
91500350,72138,0,B,155000,11600
91500350,72140,0,B,162000,8300
91500350,72150,0,B,165000,3000
91500350,72152,0,B,168000,3000
91500520,83892,0,B,150000,400
91500560,87113,0,B,160000,600
91500580,88581,0,S,184900,100
91500580,88595,0,B,160100,100
91500640,92831,0,S,177800,2500
91500640,93051,0,B,165300,400
91500670,94444,0,S,172700,1500
91500710,96611,0,S,207300,200
91500710,96830,0,S,206900,200
91500720,98128,0,S,175000,200
91500730,98405,0,S,177500,200
91500730,98407,0,S,179000,200
91500730,98408,0,S,180000,200
91500730,98410,0,S,182000,200
91500780,101896,0,B,163100,300
91500780,101909,0,B,163100,300
91500910,110796,0,S,178000,9700
91500910,110797,0,S,184000,5000
91500910,110798,0,S,207400,5000
91501010,117997,0,S,203000,2304
91501050,121203,0,S,207400,1000
91501090,124400,0,S,193400,100
91501100,124875,0,B,170300,500
91501100,124877,0,B,169100,1000
91501100,124931,0,S,207400,612
91501290,135497,0,S,206600,300
91501360,137837,0,B,163600,300
91501420,139865,0,S,207400,1900
91501420,139952,0,S,207400,500
91501460,140938,0,S,200000,300
91501600,146194,0,B,163900,3700
91501600,146196,0,B,160700,600
91501600,146197,0,B,157500,600
91501600,146198,0,B,154400,600
91501600,146200,0,S,186500,1000
91501600,146201,0,S,190300,1000
91501600,146202,0,S,194100,1000
91501600,146203,0,S,198000,1000
91501600,146204,0,S,202000,900
91501600,146205,0,S,206000,900
91501610,146670,0,B,165000,1000
91501610,146690,0,B,165500,1000
91501610,146691,0,S,188200,1000
91501930,158831,0,S,189200,500
91501930,158923,0,S,194800,500
91501930,158924,0,S,196800,500
91501960,160061,0,S,181000,1000
91502020,163322,0,S,178500,100
91502070,165083,0,B,174500,5600
91502080,165318,0,B,174500,3000
91502320,173880,0,S,201700,100
91502340,174302,0,B,142900,11000
91502340,174303,0,B,148800,7100
91502340,174305,0,B,153900,6900
91502340,174307,0,B,162900,3200
91502340,174310,0,B,172800,500
91502340,174311,0,B,172900,500
91502460,176362,0,S,188000,100
91502460,176363,0,B,139800,1000
91502520,177483,0,S,178000,500
91503130,190273,0,S,207400,200
91503290,192814,0,S,207400,700
91503890,199390,0,S,207400,500
91511420,214338,0,S,204000,900
91512610,214736,0,S,184000,600
91513780,214979,0,B,168800,100
91551480,220832,0,B,167800,800
91556740,221541,0,B,200000,700
91607100,223243,0,S,199900,5800
91622220,225436,0,S,207400,1000
91629270,226527,0,B,168000,4500
91657630,231326,0,S,207400,10000
