时间,交易所委托号,委托类型,委托代码,委托价格,委托数量
91500240,999,A,B,94100,50000
91500470,1439,A,B,90000,200
91501180,1814,A,S,104600,500
91501220,1862,A,B,92300,300
91501220,1882,A,S,98900,200
91501220,1925,A,S,99000,400
91501220,1930,A,S,103500,600
91501300,2055,A,S,100000,200
91501300,2289,A,B,87500,200
91501300,2300,A,S,104500,200
91501300,2343,A,S,99300,800
91501330,2380,A,S,99100,300
91501330,2880,A,B,93200,100
91501330,2900,A,S,95800,3000
91501330,2947,A,S,96800,1500
91501330,2951,A,S,104600,200
91501440,3264,A,S,98100,600
91501440,3377,A,S,99900,2600
91501440,3517,A,S,104600,600
91501440,3797,A,S,98800,500
91501440,3798,A,B,92900,500
91501440,3799,A,B,92200,500
91501440,3800,A,B,91800,1000
91501440,3818,A,S,99000,3300
91501440,3880,A,S,104000,3200
91501440,3914,A,S,104600,1400
91501440,3949,A,B,87000,1000
91501440,4227,A,S,104600,1100
91501440,4242,A,S,99900,400
91501440,4243,A,S,99900,300
91501440,4292,A,S,96000,4000
91501440,4326,A,S,98000,800
91501440,4524,A,S,97000,3000
91501440,4776,A,S,99800,900
91501610,5170,A,S,98000,200
91501610,5269,A,S,104600,8600
91501610,5714,A,S,99900,3700
91501610,5753,A,B,92500,500
91501610,5764,A,B,94000,500
91501610,6071,A,S,97100,600
91501610,6079,A,S,104000,600
91501610,6087,A,S,99500,800
91501610,6094,A,B,90000,900
91501610,6213,A,S,104600,100
91501610,6221,A,S,104400,100
91501610,6531,A,S,99000,500
91501610,6532,A,S,104000,500
91501610,6546,A,S,95100,200
91501610,6579,A,S,97300,500
91501610,6581,A,S,97000,2000
91501610,6703,A,B,93100,700
91501610,6716,A,B,90500,800
91501610,6824,A,S,99800,1200
91501740,6978,A,S,99900,2800
91501740,7050,A,S,104600,900
91501740,7137,A,B,92200,1000
91501740,7148,A,S,104600,1000
91501740,7188,A,S,97800,1400
91501740,7202,A,S,99600,1200
91501740,7473,A,S,104400,700
91501740,7899,A,S,99000,5000
91501740,7956,A,S,104500,6000
91501740,7967,A,S,99700,100
91501740,8050,A,S,103800,300
91501740,8144,A,S,97900,3900
91501740,8567,A,B,88000,1000
91501740,8677,A,S,104000,1000
91501740,8732,A,B,88000,1000
91501870,9173,A,S,104600,200
91501870,9215,A,S,104500,1000
91501870,9399,A,S,95900,100
91501870,9442,A,S,97500,10300
91501870,9650,A,S,97000,1400
91501940,9868,A,S,104600,10000
91501940,10044,A,B,90000,26800
91501940,10314,A,S,99000,3000
91501940,10327,A,B,92500,500
91501940,10370,A,S,98000,3000
91501940,10472,A,S,99400,600
91501940,10481,A,S,104600,200
91501940,10526,A,S,99300,200
91501940,10652,A,S,97900,700
91501940,11050,A,S,103000,500
91501940,11051,A,S,102000,500
91501940,11072,A,S,101000,500
91501940,11109,A,S,100000,500
91501940,11173,A,S,99000,500
91501940,11180,A,S,104600,1000
91501940,11199,A,S,97000,1500
91501940,11314,A,B,87000,1000
91501940,11350,A,S,104000,500
91501940,11509,A,B,90000,1000
91501940,11514,A,S,104600,900
91501940,11526,A,B,93000,1000
91501940,11545,A,S,98500,1000
91501940,11565,A,S,104500,2000
91501940,11650,A,S,98600,1700
91502050,11782,A,S,102100,8600
91502050,11937,A,B,94000,900
91502050,12040,A,S,103700,68900
91502050,12069,A,S,99000,2000
91502050,12079,A,S,104600,2100
91502050,12226,A,B,94000,100
91502050,12263,A,S,104000,2000
91502050,12447,A,B,90200,1200
91502050,12588,A,S,100000,2000
91502050,12591,A,B,90000,1000
91502050,12614,A,S,104600,1500
91502050,12635,A,S,104600,1000
91502050,13048,A,B,95400,300
91502050,13077,A,B,94800,200
91502050,13108,A,S,100000,1000
91502050,13341,A,S,99000,29000
91502050,13607,A,B,92200,4600
91502190,13697,A,S,98000,1000
91502190,13708,A,S,98700,300
91502190,13737,A,S,100800,2000
91502190,13975,A,S,102400,100
91502190,13982,A,S,97500,1100
91502190,14001,A,S,104600,100
91502190,14003,A,S,104600,4000
91502190,14069,A,B,92800,400
91502190,14294,A,S,100000,200
91502190,14465,A,S,104600,100
91502190,14473,A,S,104600,300
91502190,14520,A,S,103400,600
91502190,14557,A,S,99700,2400
91502190,14697,A,S,98900,300
91502190,14708,A,S,104200,100
91502190,14728,A,S,99200,4900
91502190,14795,A,S,98000,500
91502190,14947,A,S,99200,300
91502190,15140,A,B,95200,1300
91502190,15145,A,S,99600,3000
91502190,15152,A,S,104600,2000
91502190,15198,A,S,98800,1400
91502190,15278,A,S,104600,600
91502190,15312,A,S,99800,800
91502190,15440,A,S,104600,1100
91502190,15581,A,B,91500,200
91502190,15616,A,B,94700,600
91502320,15844,A,S,103300,11800
91502320,15862,A,S,99500,1000
91502320,15938,A,B,90600,900
91502320,16036,A,S,96900,400
91502320,16048,A,S,97700,500
91502320,16050,A,S,102800,500
91502320,16056,A,S,98500,600
91502320,16067,A,S,99300,1000
91502320,16085,A,S,104600,2400
91502320,16088,A,S,96600,1200
91502320,16090,A,S,102900,1500
91502320,16097,A,S,101800,1300
91502320,16104,A,S,100900,1100
91502320,16180,A,B,94500,2100
91502320,16254,A,S,103800,400
91502320,16353,A,B,94000,1000
91502320,16401,A,S,97000,5000
91502320,16448,A,S,98000,5000
91502320,16506,A,B,91800,1000
91502320,16534,A,S,99000,5000
91502320,16535,A,S,100000,10000
91502320,16570,A,S,101000,10000
91502320,16571,A,S,102000,5000
91502320,16594,A,S,103000,5000
91502320,16595,A,S,104000,5000
91502320,16705,A,B,94000,10000
91502320,16718,A,B,91000,15000
91502320,16735,A,B,88000,12300
91502320,16737,A,B,90000,900
91502320,16745,A,S,104300,1000
91502320,16880,A,S,104600,2100
91502320,16939,A,S,97000,600
91502320,16952,A,S,96700,2000
91502320,17095,A,S,97000,20000
91502320,17260,A,B,91000,1000
91502320,17303,A,S,104600,8300
91502320,17340,A,S,104600,4500
91502320,17377,A,S,104600,100
91502490,17621,A,B,88000,36300
91502490,17705,A,S,104600,5900
91502490,17770,A,S,104200,1500
91502490,17771,A,S,99900,2100
91502530,17877,A,S,99900,500
91502530,17878,A,B,92100,500
91502530,17905,A,S,102000,1200
91502530,17936,A,S,96500,300
91502530,18132,A,S,103900,800
91502530,18170,A,S,101900,900
91502530,18468,A,B,90300,9000
91502530,18481,A,B,93900,1000
91502530,18482,A,S,98500,9000
91502530,18592,A,B,94100,800
91502530,18644,A,S,104600,1000
91502530,18788,A,S,104200,2400
91502530,18891,A,B,85800,1000
91502530,18927,A,B,87200,1000
91502530,18928,A,S,102000,500
91502530,18951,A,B,88200,500
91502530,19057,A,S,102800,1300
91502530,19086,A,B,90200,700
91502530,19184,A,S,100000,2000
91502530,19196,A,B,90000,500
91502530,19197,A,B,91000,500
91502530,19198,A,B,92000,500
91502530,19199,A,B,93000,500
91502530,19235,A,S,100500,1000
