万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量
688800.SH,688800,20231213,91401000,0,0,0,0,0,,,0,0,0,0,0,404000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688800.SH,688800,20231213,91401000,0,0,0,0,0,,,0,0,0,0,0,404000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688800.SH,688800,20231213,91501000,0,0,0,0,0,,,0,0,0,0,0,404000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407900,404000,800,200
688800.SH,688800,20231213,91504000,0,0,0,0,0,,,0,0,0,0,0,404000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441600,380070,28399,7330
688800.SH,688800,20231213,91507000,0,0,0,0,0,,,0,0,0,0,0,404000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445090,376530,38722,11016
688800.SH,688800,20231213,91510000,0,0,0,0,0,,,0,0,0,0,0,404000,397400,0,0,0,0,0,0,0,0,0,900,100,0,0,0,0,0,0,0,0,397400,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,444920,380310,61088,17933
688800.SH,688800,20231213,91513000,0,0,0,0,0,,,0,0,0,0,0,404000,397400,0,0,0,0,0,0,0,0,0,900,100,0,0,0,0,0,0,0,0,397400,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,444430,381710,66138,27723
688800.SH,688800,20231213,91516000,0,0,0,0,0,,,0,0,0,0,0,404000,397400,0,0,0,0,0,0,0,0,0,900,100,0,0,0,0,0,0,0,0,397400,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,445620,381710,68138,27723
688800.SH,688800,20231213,91552000,0,0,0,0,0,,,0,0,0,0,0,404000,397400,0,0,0,0,0,0,0,0,0,900,100,0,0,0,0,0,0,0,0,397400,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,445620,381820,68138,27923
688800.SH,688800,20231213,91558000,0,0,0,0,0,,,0,0,0,0,0,404000,397400,0,0,0,0,0,0,0,0,0,900,100,0,0,0,0,0,0,0,0,397400,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,445250,381820,69138,27923
